trial,context,early,cue,motion,color,context_freq,motion_freq,color_freq,target_freq,response_freq,correct_response,congruent
0,0,0,0,0,1,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.12,0.56000000000000005,0.0,False
1,0,0,0,0,1,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.12,0.56000000000000005,0.0,False
2,0,0,0,0,1,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.12,0.56000000000000005,0.0,False
3,0,0,0,1,0,0.20000000000000001,0.40000000000000002,0.40000000000000002,0.080000000000000016,0.43999999999999995,1.0,False
4,0,0,0,1,0,0.20000000000000001,0.40000000000000002,0.40000000000000002,0.080000000000000016,0.43999999999999995,1.0,False
5,1,0,0,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
6,1,0,0,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
7,1,0,0,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
8,1,0,0,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
9,1,0,0,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
10,1,0,0,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
11,1,0,0,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
12,1,0,0,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
13,1,0,0,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
14,1,0,0,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
15,1,0,0,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
16,1,0,0,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.47999999999999998,0.43999999999999995,1.0,False
17,1,0,0,1,0,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
18,1,0,0,1,0,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
19,1,0,0,1,0,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
20,1,0,0,1,0,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
21,1,0,0,1,0,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.47999999999999998,0.56000000000000005,0.0,False
22,1,0,0,1,0,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
23,1,0,0,1,0,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
24,1,0,0,1,0,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.32000000000000006,0.56000000000000005,0.0,False
25,0,0,1,0,1,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.12,0.56000000000000005,0.0,False
26,0,0,1,0,1,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.12,0.56000000000000005,0.0,False
27,0,0,1,0,1,0.20000000000000001,0.59999999999999998,0.59999999999999998,0.12,0.56000000000000005,0.0,False
28,0,0,1,1,0,0.20000000000000001,0.40000000000000002,0.40000000000000002,0.12,0.43999999999999995,1.0,False
29,0,0,1,1,0,0.20000000000000001,0.40000000000000002,0.40000000000000002,0.12,0.43999999999999995,1.0,False
30,1,0,1,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
31,1,0,1,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
32,1,0,1,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
33,1,0,1,0,1,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.32000000000000006,0.43999999999999995,1.0,False
