trial,context,early,cue,motion,color,context_freq,motion_freq,color_freq,target_freq,response_freq,correct_response,congruent
0,0,0,0,0,1,0.80000000000000004,0.80000000000000004,0.20000000000000001,0.64000000000000012,0.20000000000000001,0.0,False
1,0,0,0,0,1,0.80000000000000004,0.80000000000000004,0.20000000000000001,0.64000000000000012,0.20000000000000001,0.0,False
2,0,0,0,0,1,0.80000000000000004,0.80000000000000004,0.20000000000000001,0.64000000000000012,0.20000000000000001,0.0,False
3,0,0,0,0,1,0.80000000000000004,0.80000000000000004,0.20000000000000001,0.64000000000000012,0.20000000000000001,0.0,False
4,0,0,0,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
5,0,0,0,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
6,0,0,0,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
7,0,0,0,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
8,0,0,0,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
9,0,0,0,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
10,0,0,0,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
11,0,0,0,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
12,0,0,0,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
13,0,0,0,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
14,0,0,0,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
15,0,0,0,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
16,0,0,0,1,0,0.80000000000000004,0.20000000000000001,0.80000000000000004,0.16000000000000003,0.80000000000000004,1.0,False
17,0,0,0,1,0,0.80000000000000004,0.20000000000000001,0.80000000000000004,0.16000000000000003,0.80000000000000004,1.0,False
18,0,0,0,1,0,0.80000000000000004,0.20000000000000001,0.80000000000000004,0.16000000000000003,0.80000000000000004,1.0,False
19,0,0,0,1,0,0.80000000000000004,0.20000000000000001,0.80000000000000004,0.16000000000000003,0.80000000000000004,1.0,False
20,1,0,0,0,1,0.20000000000000001,0.80000000000000004,0.20000000000000001,0.040000000000000008,0.80000000000000004,1.0,False
21,1,0,0,0,0,0.20000000000000001,0.80000000000000004,0.80000000000000004,0.040000000000000008,0.20000000000000001,0.0,True
22,1,0,0,0,0,0.20000000000000001,0.80000000000000004,0.80000000000000004,0.040000000000000008,0.20000000000000001,0.0,True
23,1,0,0,0,0,0.20000000000000001,0.80000000000000004,0.80000000000000004,0.040000000000000008,0.20000000000000001,0.0,True
24,1,0,0,1,0,0.20000000000000001,0.20000000000000001,0.80000000000000004,0.16000000000000003,0.20000000000000001,0.0,False
25,0,0,1,0,1,0.80000000000000004,0.80000000000000004,0.20000000000000001,0.64000000000000012,0.20000000000000001,0.0,False
26,0,0,1,0,1,0.80000000000000004,0.80000000000000004,0.20000000000000001,0.64000000000000012,0.20000000000000001,0.0,False
27,0,0,1,0,1,0.80000000000000004,0.80000000000000004,0.20000000000000001,0.64000000000000012,0.20000000000000001,0.0,False
28,0,0,1,0,1,0.80000000000000004,0.80000000000000004,0.20000000000000001,0.64000000000000012,0.20000000000000001,0.0,False
29,0,0,1,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.16000000000000003,0.20000000000000001,0.0,True
30,0,0,1,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
31,0,0,1,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
32,0,0,1,0,0,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.64000000000000012,0.20000000000000001,0.0,True
