trial_type,context,early,stim,cue,motion,color,context_freq,cue_dur,trial_dur,color_freq,context_entropy,congruent,target,block,run,run_trial,iti,condition_trial,color_switch,context_switch,frame_switch,motion_switch
early,0,True,True,1,1.0,1.0,0.5,1.5,2.0,0.5,0.69314718055994529,True,1.0,0,1,0,1.0,0,False,0.0,0.0,False
early,1,True,True,0,1.0,0.0,0.5,1.5,2.0,0.5,0.69314718055994529,False,0.0,0,1,1,1.0,1,True,1.0,1.0,False
early,0,True,True,1,1.0,1.0,0.5,1.5,2.0,0.5,0.69314718055994529,True,1.0,0,1,2,5.0,2,True,1.0,1.0,False
early,1,True,True,0,1.0,0.0,0.5,1.5,2.0,0.5,0.69314718055994529,False,0.0,0,1,3,1.0,3,True,1.0,1.0,False
catch,1,True,False,1,,,0.5,1.5,1.0,0.5,0.69314718055994529,False,,0,1,4,2.0,4,False,0.0,1.0,False
later,1,False,True,1,1.0,0.0,0.5,,1.0,0.5,0.69314718055994529,False,0.0,0,1,5,1.0,5,False,0.0,0.0,False
catch,1,True,False,0,,,0.5,1.5,1.0,0.5,0.69314718055994529,False,,0,1,6,2.0,6,False,0.0,1.0,False
catch,0,True,False,1,,,0.5,1.5,1.0,0.5,0.69314718055994529,False,,0,1,7,1.0,7,False,1.0,1.0,False
catch,1,True,False,1,,,0.5,1.5,1.0,0.5,0.69314718055994529,False,,0,1,8,1.0,8,False,1.0,1.0,False
later,0,False,True,0,1.0,1.0,0.5,,1.0,0.5,0.69314718055994529,True,1.0,0,1,9,1.0,9,True,1.0,1.0,False
catch,1,True,False,1,,,0.5,1.5,1.0,0.5,0.69314718055994529,False,,0,1,10,5.0,10,False,1.0,1.0,False
catch,1,True,False,0,,,0.5,1.5,1.0,0.5,0.69314718055994529,False,,0,1,11,1.0,11,False,0.0,1.0,False
catch,1,True,False,1,,,0.5,1.5,1.0,0.5,0.69314718055994529,False,,0,1,12,1.0,12,False,0.0,1.0,False
catch,1,True,False,0,,,0.5,1.5,1.0,0.5,0.69314718055994529,False,,0,1,13,4.0,13,False,0.0,1.0,False
later,1,False,True,1,0.0,1.0,0.5,,1.0,0.5,0.69314718055994529,False,1.0,0,1,14,2.0,14,False,0.0,1.0,True
early,0,True,True,0,1.0,1.0,0.5,1.5,2.0,0.5,0.69314718055994529,True,1.0,0,1,15,2.0,15,False,1.0,1.0,True
later,0,False,True,1,0.0,0.0,0.5,,1.0,0.5,0.69314718055994529,True,0.0,0,1,16,1.0,16,True,0.0,1.0,True
later,0,False,True,0,1.0,1.0,0.5,,1.0,0.5,0.69314718055994529,True,1.0,0,1,17,1.0,17,True,0.0,1.0,True
catch,0,True,False,1,,,0.5,1.5,1.0,0.5,0.69314718055994529,False,,0,1,18,1.0,18,False,0.0,1.0,False
early,1,True,True,1,1.0,1.0,0.5,1.5,2.0,0.5,0.69314718055994529,True,1.0,0,1,19,1.0,19,False,1.0,1.0,False
later,1,False,True,0,0.0,0.0,0.5,,1.0,0.5,0.69314718055994529,True,0.0,0,1,20,5.0,20,True,0.0,1.0,True
later,0,False,True,0,0.0,1.0,0.5,,1.0,0.5,0.69314718055994529,False,0.0,0,1,21,1.0,21,True,1.0,1.0,False
early,1,True,True,0,0.0,0.0,0.5,1.5,2.0,0.5,0.69314718055994529,True,0.0,0,1,22,1.0,22,True,1.0,1.0,False
catch,0,True,False,1,,,0.5,1.5,1.0,0.5,0.69314718055994529,False,,0,1,23,1.0,23,False,1.0,1.0,False
